title,authors,abstracts,venue,year_token,year,primary_topic,reference_count,citation_count,keywords,venue_cav,venue_iclp,venue_kr,venue_lics,venue_lpnmr,Label
resource allocation with cooperative agents.,noauthor,noabstract,iclp,year_post_2024,2025,notopic,19,0,nokeywords,0.0,1.0,0.0,0.0,0.0,2
enhancing compilation-based asp solving.,carmine dodaro giuseppe mazzotta francesco ricca,noabstract,iclp,year_post_2024,2025,notopic,26,0,nokeywords,0.0,1.0,0.0,0.0,0.0,5
enhancing compilation-based asp solving with postponed atom discovery.,andrea cuteri giuseppe mazzotta francesco ricca,noabstract,iclp,year_post_2024,2025,notopic,50,0,nokeywords,0.0,1.0,0.0,0.0,0.0,5
toward executing datalog on big data platforms - extended abstract.,bernard lang,noabstract,iclp,year_post_2024,2025,notopic,0,0,nokeywords,0.0,1.0,0.0,0.0,0.0,3
peg 2.0: future-gazing through a socio-linguistic and historical lens.,noauthor,noabstract,iclp,year_post_2024,2025,notopic,26,0,nokeywords,0.0,1.0,0.0,0.0,0.0,2
learning asp domain-specific heuristics using transformers.,marcello balduccini,noabstract,iclp,year_post_2024,2025,notopic,43,0,nokeywords,0.0,1.0,0.0,0.0,0.0,5
search-guided generation of properties for program analyzers.,yixuan liang,noabstract,iclp,year_post_2024,2025,notopic,36,0,nokeywords,0.0,1.0,0.0,0.0,0.0,4
knowledge-based stable roommates problems.,müge fidan,"the phd studies of the author focus on a human-centered and computationally-challenging interdisciplinary problem of the stable roommates problem and its variations. motivated by real-world applications, and by the fact that the stable roommates problem does not always admit a stable solution, the goal is to develop novel computational methods to solve these problems, that are not only computationally efficient but also yield solutions that are fair, personalized, and applicable in real-world to benefit humans.",iclp,year_post_2024,2025,constraint satisfaction and optimization,0,0,"focus (optics), stable marriage problem, stability (learning theory), yield (engineering), context (archaeology)",0.0,1.0,0.0,0.0,0.0,4
llmasp: a framework for mitigating hallucinations and supporting symbolic reasoning in large language models.,xing xu,noabstract,iclp,year_post_2024,2025,notopic,0,0,nokeywords,0.0,1.0,0.0,0.0,0.0,4
exploring digital twins integration with asp and asp chef.,fiona rossette-crake,noabstract,iclp,year_post_2024,2025,notopic,23,0,nokeywords,0.0,1.0,0.0,0.0,0.0,4
formal verification of answer set programs containing advanced language constructs.,rolf schwitter,noabstract,iclp,year_post_2024,2025,notopic,46,0,nokeywords,0.0,1.0,0.0,0.0,0.0,5
the simple generative logic grammar: a tool for teaching logical thinking through visual research in art and design.,susanna berger,noabstract,iclp,year_post_2024,2025,notopic,3,0,nokeywords,0.0,1.0,0.0,0.0,0.0,5
answer set counting and its applications to network reliability and system biology.,mohimenul kabir,"we have focused on answer set programming (asp), more specifically, answer set counting, exploring both exact and approximate methodologies. we developed an exact asp counter, sharpasp, which utilizes a compact encoding for propositional formulas, significantly enhancing efficiency compared to existing methods that often struggle with inefficient encodings. our evaluations indicate that sharpasp outperforms current asp counters on several benchmarks. in addition, we proposed an approximate asp counter, named approxasp, a hashing-based counter integrating gauss-jordan elimination within the asp solver, clingo. as a practical application, we employed approxasp for network reliability estimation, demonstrating superior performance over both traditional reliability estimators and #sat-based methods.",iclp,year_post_2024,2025,bayesian modeling and causal inference,42,0,"set (abstract data type), computer science, programming language",0.0,1.0,0.0,0.0,0.0,4
precise exponential-time complexity of non-monotonic reasoning.,georg gottlob,noabstract,iclp,year_post_2024,2025,notopic,17,0,nokeywords,0.0,1.0,0.0,0.0,0.0,3
towards incorporating normative requirements in autonomous systems using datalog.,dorra zaibi meriem riahi faouzi moussa,noabstract,iclp,year_post_2024,2025,notopic,3,0,nokeywords,0.0,1.0,0.0,0.0,0.0,3
visualizing kripke models in logikey: the case of sdl.,n. mansurov d. zhukov,noabstract,iclp,year_post_2024,2025,notopic,0,0,nokeywords,0.0,1.0,0.0,0.0,0.0,3
decompiling language models into logic programs.,noauthor,noabstract,iclp,year_post_2024,2025,notopic,18,0,nokeywords,0.0,1.0,0.0,0.0,0.0,4
logic and answer set programming in high school: two learning unit experiences.,fabrizio riguzzi,noabstract,iclp,year_post_2024,2025,notopic,10,0,nokeywords,0.0,1.0,0.0,0.0,0.0,5
exploring neurosymbolic systems in answer set programming with an application to waste water monitoring.,steffen schieweck gabriele kern-isberner michael ten hompel,noabstract,iclp,year_post_2024,2025,notopic,30,0,nokeywords,0.0,1.0,0.0,0.0,0.0,5
constructionist co-design for the learning experience: a work-in-progress on engaging teachers to integrate logic programming in primary school.,maria daskolia jaume piera karen soacha,noabstract,iclp,year_post_2024,2025,notopic,27,0,nokeywords,0.0,1.0,0.0,0.0,0.0,3
when prolog meets generative models: a new approach for managing knowledge and planning in robotic applications - abstract.,enrico saccon ahmet tikna davide de martini edoardo lamon luigi palopoli marco roveri,"in this paper, we propose a robot oriented knowledge representation system based on the use of the prolog language. our framework hinges on a special organisation of knowledge base (kb) that enables: 1) its efficient population from natural language texts using semi-automated procedures based on large language models (llms); 2) the seamless generation of temporal parallel plans for multi-robot systems through a sequence of transformations; 3) the automated translation of the plan into an executable formalism. the framework is supported by a set of open source tools and its functionality is shown with a realistic application.",iclp,year_post_2024,2025,ai-based problem solving and planning,33,0,"prolog, computer science, generative grammar, artificial intelligence, software engineering, generative design, programming language, human–computer interaction, engineering",0.0,1.0,0.0,0.0,0.0,5
teaching prolog and logic programming with jupyter notebooks.,noauthor,noabstract,iclp,year_post_2024,2025,notopic,12,0,nokeywords,0.0,1.0,0.0,0.0,0.0,5
a legal logic programming framework for autonomous vehicles.,vineel tummala daniela inclezan,noabstract,iclp,year_post_2024,2025,notopic,17,0,nokeywords,0.0,1.0,0.0,0.0,0.0,5
userarmor: an extension for apparmor.,mario alviano pierpaolo sestito,noabstract,iclp,year_post_2024,2025,notopic,0,0,nokeywords,0.0,1.0,0.0,0.0,0.0,1
global type inference for java using answer set programming.,fabrizio riguzzi,noabstract,iclp,year_post_2024,2025,notopic,0,0,nokeywords,0.0,1.0,0.0,0.0,0.0,4
platform for introducing logic programming in bulgarian secondary schools - ideas (intelligent data educational analysis system).,veneta tabakova-komsalova ivan stoyanov george cholakov magdalena maglizhanova,noabstract,iclp,year_post_2024,2025,notopic,9,0,nokeywords,0.0,1.0,0.0,0.0,0.0,1
research summary: explainable artificial intelligence in answer set programming and machine learning.,vladimir lifschitz,"background: duration of second stage of labor is crucial for fetal delivery, but the optimal length of this stage remains controversial. while extending the duration of second stage can reduce primary cesarean delivery rates, it may increase maternal and neonatal morbidities as the duration progresses. we aimed to develop a personalized machine learning (ml) model to predict the possible second-stage duration. methods: this multicenter, retrospective study was conducted at four tertiary hospitals in china from september 2013 to october 2022. data from three hospitals in guangdong province was selected as derivation set, and a geographically independent dataset from fujian province as the external validation set. singleton vaginal deliveries with term live birth in a cephalic position were included. the primary outcome was the duration of the second stage of labor. since durations beyond 3 h were rare, we developed binary classification models with thresholds at 1 h and 2 h. after the optimal features selected by recursive feature elimination (rfe) method, four ml algorithms were employed to build the models. the best model would be selected with the predictive performance and interpreted with shapley additive explanations method. the study is registered in clinical trial (chictr2400085338). findings: electronic medical records of 79,381 vaginal deliveries were obtained, and 63,401 deliveries meeting the inclusion criteria were included in the final analysis. eight risk features were selected through the rfe process. gradient boosting machine implemented by decision tree models achieved the best performance, yielding areas under the curve for 1-h and 2-h models of 0.808 (95% confidence interval [ci] 0.797-0.819) and 0.824 (95% ci 0.804-0.843) in the testing set, and 0.862 (95% ci 0.854-0.870) and 0.859 (95% ci 0.843-0.875) in the external validation set, respectively. interpretation: an explainable and reliable ml model was developed to predict the probable second-stage duration, which could assist in individualized labor management. factors such as first-stage duration and maternal age are potential predictors for the second stage. funding: national natural science foundation of china (no.82371689, n0.81771602), and national key research and development program of china (no.2021yfc2700703).",iclp,year_post_2024,2025,maternal and perinatal health interventions,40,0,"medicine, duration (music), retrospective cohort study, stage (stratigraphy), cohort, internal medicine",0.0,1.0,0.0,0.0,0.0,5
asp and pddl+ applications in urban traffic distribution and control.,sandra castellanos-paez francesco percassi mauro vallati,noabstract,iclp,year_post_2024,2025,notopic,0,0,nokeywords,0.0,1.0,0.0,0.0,0.0,4
early validation of high-level requirements on cyber-physical systems.,ondřej vašíček,"the overarching, broad topic of my research are advancements in the area of safety-critical, cyber-physical systems (cps) development with emphasis on validation and verification. the particular focus of my research is the early validation of high-level requirements on cps. my current approach for tackling this problem is transforming the requirements into event calculus and subsequently reasoning about them using asp solvers such as the grounding-free s(casp). below, i discuss my research, its current state, and the open issues that are still left to tackle. the first results of my work will be presented in a paper that was accepted for iclp'24, which is my first paper in this area.",iclp,year_post_2024,2025,software engineering techniques and practices,0,0,"cyber-physical system, computer science, reliability engineering, engineering, operating system",0.0,1.0,0.0,0.0,0.0,1
probabilistic declarative process mining.,anti alman fabrizio maria maggi marco montali rafael peñaloza,"in a variety of application domains, (business) processes are intrinsically uncertain. surprisingly, only very few languages and techniques in bpm consider uncertainty as a first-class citizen. this is also the case in declarative processes, which typically require that process executions satisfy all the elicited process constraints. we counteract this limitation by introducing the notion of probabilistic process constraint. we show how to characterize the semantics of probabilistic process constraints through the interplay of time and probability, and how it is possible to reason over such constraints by loosely coupling temporal and probabilistic reasoning. we then rely on this approach to redefine several key process mining tasks in the light of uncertainty. first, we discuss how probabilistic constraints can be discovered from event data by employing, off-the-shelf, existing algorithms for declarative process discovery. second, we study how to carry out monitoring, obtaining a setting where a monitored partial trace may be in multiple monitoring states at the same time, though with different probabilities. third, we handle conformance checking both at the trace and event log level, in the latter case providing a notion of earth mover’s distance that suits with our context. all the presented techniques have been implemented in proof-of-concept prototypes. © 2022elsevierltd.allrightsreserved.",iclp,year_post_2024,2025,business process modeling and analysis,45,0,"probabilistic logic, computer science, process mining, trace (psycholinguistics), event (particle physics), process (computing), context (archaeology), semantics (computer science), theoretical computer science, probabilistic database, constraint (computer-aided design), programming language, business process, artificial intelligence, machine learning, data mining, work in process, business process management, relational database, mathematics",0.0,1.0,0.0,0.0,0.0,4
a scalable approach to probabilistic compliance in declarative process mining.,christian sturm stefan schönig stefan jablonski,noabstract,iclp,year_post_2024,2025,notopic,17,0,nokeywords,0.0,1.0,0.0,0.0,0.0,3
a neurosymbolic approach to fraud detection on financial data in the public administration.,noauthor,noabstract,iclp,year_post_2024,2025,notopic,0,0,nokeywords,0.0,1.0,0.0,0.0,0.0,5
scalable and ethical medical scheduling: an asp-based framework with patient-centered experimental validation.,hongnan ye,noabstract,iclp,year_post_2024,2025,notopic,0,0,nokeywords,0.0,1.0,0.0,0.0,0.0,4
on computing universal plans for partially observable multi-agent path finding.,fengming zhu fangzhen lin,"multi-agent routing problems have gained significant attention recently due to their wide range of industrial applications, ranging from logistics warehouse automation to indoor service robots. conventionally, they are modeled as classical planning problems. in this paper, we argue that it can be beneficial to formulate them as universal planning problems, particularly when the agents are autonomous entities and may encounter unforeseen situations. we therefore propose universal plans, also known as policies, as the solution concept, and implement a system based on answer set programming (asp) to compute them. given an arbitrary two-dimensional map and a profile of goals for a group of partially observable agents, the system translates the problem configuration into logic programs and finds a feasible universal plan for each agent, mapping its observations to actions while ensuring that there are no collisions with other agents. we use the system to conduct experiments and obtain findings regarding the types of goal profiles and environments that lead to feasible policies, as well as how feasibility may depend on the agents' sensors. we also demonstrate how users can customize action preferences to compute more efficient policies, even (near-)optimal ones. the code is available at https://github.com/fernadoo/mapf_asp.",iclp,year_post_2024,2025,notopic,49,0,nokeywords,0.0,1.0,0.0,0.0,0.0,1
færdxel: an expert system for danish traffic law.,luís cruz-filipe jonas vistrup,"we present f{\ae}rdxel, a tool for symbolic reasoning in the domain of danish traffic law. f{\ae}rdxel combines techniques from logic programming with a novel interface that allows users to navigate through its reasoning process, thereby ensuring the system's explainability. towards the goal of better understanding the value of f{\ae}rdxel, two evaluations of the system have been performed: (1) an empirical evaluation showing that for a selection of court cases, the conclusions of f{\ae}rdxel align with those of danish judges. (2) a qualitative evaluation from legal experts indicating that this work has potential to become a foundation for real-world ai tools supporting professionals in the danish legal sector.",iclp,year_post_2024,2025,business process modeling and analysis,30,0,"danish, law, political science, philosophy, linguistics",0.0,1.0,0.0,0.0,0.0,1
verus-lm: a versatile framework for combining llms with symbolic reasoning.,benjamin callewaert simon vandevelde joost vennekens,"a recent approach to neurosymbolic reasoning is to explicitly combine the strengths of large language models (llms) and symbolic solvers to tackle complex reasoning tasks. however, current approaches face significant limitations, including poor generalizability due to task-specific prompts, inefficiencies caused by the lack of separation between knowledge and queries, and restricted inferential capabilities. these shortcomings hinder their scalability and applicability across diverse domains. in this paper, we introduce verus-lm, a novel framework designed to address these challenges. verus-lm employs a generic prompting mechanism, clearly separates domain knowledge from queries, and supports a wide range of different logical reasoning tasks. this framework enhances adaptability, reduces computational cost, and allows for richer forms of reasoning, such as optimization and constraint satisfaction. we show that our approach succeeds in diverse reasoning on a novel dataset, markedly outperforming llms. additionally, our system achieves competitive results on common reasoning benchmarks when compared to similar state-of-the-art approaches, and significantly surpasses them on the difficult ar-lsat dataset. by pushing the boundaries of hybrid reasoning, verus-lm represents a significant step towards more versatile neurosymbolic ai systems.",iclp,year_post_2024,2025,natural language processing techniques,38,0,computer science,0.0,1.0,0.0,0.0,0.0,2
the combined problem of online task assignment and lifelong path finding in logistics warehouses: a case study.,fengming zhu weijia xu yifei guo fangzhen lin,"we study the combined problem of online task assignment and lifelong path finding, which is crucial for the logistics industries. however, most literature either (1) focuses on lifelong path finding assuming a given task assigner, or (2) studies the offline version of this problem where tasks are known in advance. we argue that, to maximize the system throughput, the online version that integrates these two components should be tackled directly. to this end, we introduce a formal framework of the combined problem and its solution concept. then, we design a rule-based lifelong planner under a practical robot model that works well even in environments with severe local congestion. upon that, we automate the search for the task assigner with respect to the underlying path planner. simulation experiments conducted in warehouse scenarios at meituan, one of the largest shopping platforms in china, demonstrate that (a)in terms of time efficiency, our system requires only 83.77% of the execution time needed for the currently deployed system at meituan, outperforming other sota algorithms by 8.09%; (b)in terms of economic efficiency, ours can achieve the same throughput with only 60% of the agents currently in use. the code and demos are available at https://github.com/fernadoo/online-tapf.",iclp,year_post_2024,2025,notopic,0,0,nokeywords,0.0,1.0,0.0,0.0,0.0,1
a refined operational semantics for freechr.,sascha rechenberger thom frühwirth,"constraint handling rules (chr) is a rule-based programming language which is typically embedded into a general-purpose language. there exists a plethora of implementations for numerous host languages. however, the existing implementations often re-invent the way to embed chr, which impedes maintenance and weakens assertions of correctness. to formalize and thereby standardize the embedding into arbitrary host languages, we introduced the framework freechr and proved it to be a valid representation of classical ground chr. until now, this framework only includes a translation of the very abstract operational semantics which, due to its abstract nature, is not a sufficient base for practical implementations. in this paper we present a translation of the refined operational semantics for freechr and prove it to be both a valid concretization of the very abstract semantics of freechr, and an equivalent representation of the refined semantics of chr. this will establish implementations of freechr as equivalent in behavior and expressiveness to existing implementations of chr.",iclp,year_post_2024,2025,"logic, programming, and type systems",30,0,"implementation, semantics (computer science), operational semantics, embedding, representation (politics), constraint (computer-aided design), translation (biology)",0.0,1.0,0.0,0.0,0.0,1
vecsr: virtually embodied common sense reasoning system.,alexis r. tudor joaquín arias gopal gupta,"the development of autonomous agents has seen a revival of enthusiasm due to the emergence of llms, such as gpt-4o. deploying these agents in environments where they coexist with humans (e.g., as domestic assistants) requires special attention to trustworthiness and explainability. however, the use of llms and other deep learning models still does not resolve these key issues. deep learning systems may hallucinate, be unable to justify their decisions as black boxes, or perform badly on unseen scenarios. in this work, we propose the use of s(casp), a goal-directed common sense reasoner based on answer set programming, to break down the high-level tasks of an autonomous agent into mid-level instructions while justifying the selection of these instructions. to validate its use in real applications we present a framework that integrates the reasoner into the virtualhome simulator and compares its accuracy with gpt-4o, running some of the ""real"" use cases available in the domestic environments of virtualhome. additionally, since experiments with virtualhome have shown the need to reduce the response time (which increases as the agent's decision space grows), we have proposed and evaluated a series of optimizations based on program analysis that exploit the advantages of the top-down execution of s(casp).",iclp,year_post_2024,2025,semantic web and ontologies,24,0,"semantic reasoner, exploit, set (abstract data type), key (lock), common sense, embodied cognition, commonsense reasoning, enthusiasm",0.0,1.0,0.0,0.0,0.0,2
a framework for conditional reasoning in answer set programming.,mario alviano laura giordano daniele theseider dupré,"in this paper we introduce a conditional answer set programming framework (conditional asp) for the definition of conditional extensions of answer set programming (asp). the approach builds on a conditional logic with typicality, and on the combination of a conditional knowledge base with an asp program, and allows for conditional reasoning over the answer sets of the program. the formalism relies on a multi-preferential semantics, and on the klm preferential semantics, as a special case. conditional entailment is encoded in asp and a complexity upper-bound is provided.",iclp,year_post_2024,2025,"logic, reasoning, and knowledge",40,0,"answer set programming, set (abstract data type), logic programming, non-monotonic logic, conditional probability, formalism (music), logical consequence",0.0,1.0,0.0,0.0,0.0,4
the asp-based nurse scheduling system at the university of yamanashi hospital.,hidetomo nabeshima mutsunori banbara torsten schaub takehide soh,"we present the design principles of a nurse scheduling system built using answer set programming (asp) and successfully deployed at the university of yamanashi hospital. nurse scheduling is a complex optimization problem requiring the reconciliation of individual nurse preferences with hospital staffing needs across various wards. this involves balancing hard and soft constraints and the flexibility of interactive adjustments. while extensively studied in academia, real-world nurse scheduling presents unique challenges that go beyond typical benchmark problems and competitions. this paper details the practical application of asp to address these challenges at the university of yamanashi hospital, focusing on the insights gained and the advancements in asp technology necessary to effectively manage the complexities of real-world deployment.",iclp,year_post_2024,2025,pharmacy and medical practices,16,0,"staffing, nurse scheduling problem, scheduling (production processes), job shop scheduling, flexibility (engineering), university hospital",0.0,1.0,0.0,0.0,0.0,3
machine learning model integration with open world temporal logic for process automation.,dyuman aditya colton payne mario leiva paulo shakarian,"recent advances in machine learning (ml) have produced models that extract structured information from complex data. however, a significant challenge lies in translating these perceptual or extractive outputs into actionable and explainable decisions within complex operational workflows. to address these challenges, this paper introduces a novel approach that integrates the outputs of various machine learning models directly with the pyreason framework, an open-world temporal logic programming reasoning engine. pyreason's foundation in generalized annotated logic allows for the incorporation of real-valued outputs (e.g., probabilities, confidence scores) from a diverse set of ml models, treating them as truth intervals within its logical framework. crucially, pyreason provides mechanisms, implemented in python, to continuously poll ml model outputs, convert them into logical facts, and dynamically recompute the minimal model to enable decision-making in real-time. furthermore, its native support for temporal reasoning, knowledge graph integration, and fully explainable interface traces enables an analysis of time-sensitive process data and existing organizational knowledge. by combining the strengths of perception and extraction from ml models with the logical deduction and transparency of pyreason, we aim to create a powerful system for automating complex processes. this integration is well suited for use cases in numerous domains, including manufacturing, healthcare, and business operations.",iclp,year_post_2024,2025,business process modeling and analysis,13,0,"automation, transparency (behavior), process (computing), automated reasoning, temporal logic, inductive logic programming, set (abstract data type), interval temporal logic, graph",0.0,1.0,0.0,0.0,0.0,2
interpretable hybrid machine learning models using fold-r++ and answer set programming.,sanne wielinga jesse heyninck,"machine learning (ml) techniques play a pivotal role in high-stakes domains such as healthcare, where accurate predictions can greatly enhance decision-making. however, most high-performing methods such as neural networks and ensemble methods are often opaque, limiting trust and broader adoption. in parallel, symbolic methods like answer set programming (asp) offer the possibility of interpretable logical rules but do not always match the predictive power of ml models. this paper proposes a hybrid approach that integrates asp-derived rules from the fold-r++ algorithm with black-box ml classifiers to selectively correct uncertain predictions and provide human-readable explanations. experiments on five medical reveal statistically significant performance gains in accuracy and f1 score. this study underscores the potential of combining symbolic reasoning with conventional ml to achieve high interpretability without sacrificing accuracy",iclp,year_post_2024,2025,explainable artificial intelligence (xai),16,0,"interpretability, set (abstract data type), artificial neural network, limiting, expressive power, supervised learning, inductive logic programming",0.0,1.0,0.0,0.0,0.0,5
an asp-based framework for muses.,mohimenul kabir kuldeep s meel,"given an unsatisfiable formula, understanding the core reason for unsatisfiability is crucial in several applications. one effective way to capture this is through the minimal unsatisfiable subset (mus), the subset-minimal set of clauses that remains unsatisfiable. current research broadly focuses on two directions: (i) enumerating as many muses as possible within a given time limit, and (ii) counting the total number of muses for a given unsatisfiable formula. in this paper, we introduce an answer set programming-based framework, named mus-asp, designed for online enumeration of muses. asp is a powerful tool for its strengths in knowledge representation and is particularly suitable for specifying complex combinatorial problems. by translating mus enumeration into answer set solving, mus-asp leverages the computational efficiency of state-of-the-art asp systems. our extensive experimental evaluation demonstrates the effectiveness of mus-asp and highlights the acceleration in both mus enumeration and counting tasks, particularly when integrated within hybrid solvers, including the framework proposed in this paper.",iclp,year_post_2024,2025,semantic web and ontologies,90,0,"enumeration, set (abstract data type), representation (politics), core (optical fiber), combinatorial explosion, acceleration",0.0,1.0,0.0,0.0,0.0,4
a simple and effective asp-based tool for enumerating minimal hitting sets.,mohimenul kabir kuldeep s meel,"the hitting set problem is a fundamental problem in computer science and mathematics. given a family of sets over a universe of elements, a minimal hitting set is a subset-minimal collection of elements that intersects each set in the family. enumerating all minimal hitting sets is crucial in various real-world applications. in this paper, we address the full enumeration of all minimal hitting sets for a given family of sets. we formulate the problem using answer set programming (asp) and leverage existing asp solvers for efficient enumeration. we propose an asp-based tool, minhit-asp, and our empirical evaluation shows that it effectively enumerates minimal hitting sets across benchmarks from diverse problem domains.",iclp,year_post_2024,2025,"logic, reasoning, and knowledge",74,0,"set (abstract data type), leverage (statistics), simple (philosophy), answer set programming, hitting time, sequence (biology), enumeration",0.0,1.0,0.0,0.0,0.0,5
reasoning about medical triage optimization with logic programming.,jaikrishna manojkumar patil adam chapman richard knuszka john chapman paulo shakarian,"we present a logic programming framework that orchestrates multiple variants of an optimization problem and reasons about their results to support high-stakes medical decision-making. the logic programming layer coordinates the construction and evaluation of multiple optimization formulations, translating solutions into logical facts that support further symbolic reasoning and ensure efficient resource allocation -- specifically targeting the ""right patient, right platform, right escort, right time, right destination"" principle. this capability is integrated into guardiantwin, a decision support system for forward medical evacuation (medevac), where rapid and explainable resource allocation is critical. through a series of experiments, our framework demonstrates an average reduction in casualties by 35.75% compared to standard baselines. additionally, we explore how users engage with the system via an intuitive interface that delivers explainable insights, ultimately enhancing decision-making in critical situations. this work demonstrates how logic programming can serve as a foundation for modular, interpretable, and operationally effective optimization in mission-critical domains.",iclp,year_post_2024,2025,"logic, reasoning, and knowledge",24,0,"logic programming, triage, resource allocation, inductive programming, functional logic programming, resource (disambiguation), layer (electronics), optimization problem",0.0,1.0,0.0,0.0,0.0,3
picat through the lens of advent of code.,neng-fa zhou cristian grozea håkan kjellerstrand oisín mac fhearaí,"picat is a logic-based, multi-paradigm programming language that integrates features from logic, functional, constraint, and imperative programming paradigms. this paper presents solutions to several problems from the 2024 advent of code (aoc). while aoc problems are not designed for any specific programming language, certain problem types, such as reverse engineering and path-finding, are particularly well-suited to picat due to its built-in constraint solving, pattern matching, backtracking, and dynamic programming with tabling. this paper demonstrates that picat's features, especially its sat-based constraint solving and tabling, enable concise, declarative, and highly efficient implementations of problems that would require significantly more effort in imperative languages.",iclp,year_post_2024,2025,3d surveying and cultural heritage,20,0,"implementation, constraint programming, code (set theory), constraint (computer-aided design), programming paradigm, inductive programming, programming domain, lens (geology)",0.0,1.0,0.0,0.0,0.0,1
