title,authors,abstracts,venue,year_token,year,primary_topic,reference_count,citation_count,keywords,Label
picat lens advent code,neng-fa zhou cristian grozea håkan kjellerstrand oisín mac fhearaí,picat logicbase multiparadigm programming language integrate feature logic functional constraint imperative programming paradigm paper present solution several problem 2024 advent code aoc aoc problem design specific programming language certain problem type reverse engineering pathfinde particularly wellsuite picat due builtin constraint solving pattern matching backtrack dynamic programming tabling paper demonstrate picat feature especially satbase constraint solve table enable concise declarative highly efficient implementation problem would require significantly effort imperative language,iclp,year_post_2024,2025,3d survey cultural heritage,20,0,implementation constraint programming code set theory constraint computeraide design programming paradigm inductive programming programming domain lens geology,1
llm asp workflow joint entityrelation extraction,trang tran trung hoang le huiping cao tran cao son,joint entityrelation extraction jere identify entity relationship simultaneously traditional machinelearning base approach perform task require large corpus annotate datum lack ability easily incorporate domain specific information construction model therefore create model jere often labor intensive time consume elaboration intolerant paper propose harness capability generative pretraine large language model llm knowledge representation reasoning capability answer set programming asp perform jere present generic workflow jere use llm asp workflow generic sense apply jere domain take advantage llm capability natural language understanding work directly unannotate text exploit elaboration tolerant feature asp modification core program require additional domain specific knowledge form type specification find need use demonstrate usefulness propose workflow experiment limit training datum three wellknown benchmark jere result experiment show llm asp workflow well stateoftheart jere system several category 10 training datum able achieve 25 time 35 15 improvement relation extraction task scierc corpus one difficult benchmark,iclp,year_post_2024,2025,serviceoriente architecture web service,32,0,workflow task project management domain mathematical analysis joint building representation politic elaboration exploit relation database,4
extract policy quantify answer set program,martín diéguez igor stéphan,quantified answer set programming qasp extend answer set programming asp allow quantification propositional variable similar quantified boolean formula qbf paper interpret model qasp formula term policy represent decisionmake strategy determine existentially quantify variable assign give condition set universally quantify variable main contribution present algorithm policy extraction qasp semantic inspire equilibrium logic semantic general asp theory,iclp,year_post_2024,2025,logic reasoning knowledge,24,0,answer set programming stable model semantic set abstract datum type semantic computer science propositional calculus propositional variable logic programming propositional formula,5
logic programming extensible type,ivan perez angel herranz,logic programming language present clear advantage term declarativeness conciseness however idea logic programming meet resistance programming community generally adopt paradigm language paper propose novel way incorporate logic programming exist codebase type functional programming language approach integrate host language without sacrifice static typing leverage strength type functional programming polymorphism higherorder combine three idea first use extensible type technique allow value host language contain logic variable second implement unification algorithm work datum structure support certain operationsthird introduce domainspecific language define query predicate demonstrate proposal via series example provide aid make notation convenient user show propose approach technically possible also practical idea implement language haskell good result,iclp,year_post_2024,2025,logic programming type system,27,0,functional logic programming haskell declarative programming logic programming fifthgeneration programming language inductive programming programming paradigm unification reactive programming programming domain,3
logic tensor networkenhance generative adversarial network,nijesh upreti vaishak belle,paper introduce logic tensor networkenhance generative adversarial network ltngan novel framework enhance generative adversarial network gan incorporate logic tensor network ltns enforce domainspecific logical constraint sample generation process although gan show remarkable success generate realistic datum often lack mechanism incorporate prior knowledge enforce logical consistency limit applicability domain require rule adherence ltns provide principled way integrate firstorder logic neural network enable model reason satisfy logical constraint combine strength gans realistic datum synthesis ltns logical reasoning gain valuable insight logical constraint influence generative process improve diversity logical consistency generate sample evaluate ltngan across multiple dataset include synthetic dataset gaussian grid rings mnist dataset demonstrating model significantly outperform traditional gan term adherence predefine logical constraint maintain quality diversity generate sample work highlight potential neurosymbolic approach enhance generative modeling knowledgeintensive domain,iclp,year_post_2024,2025,generative adversarial network image synthesis,37,0,generative grammar mnist database consistency knowledge basis adversarial system process compute limit logical framework,3
defeasible conditional use answer set programming,racquel dennison jesse heyninck thomas meyer,defeasible entailment concerned draw plausible conclusion incomplete information foundational framework model defeasible entailment klm framework introduce kraus lehmann magidor klm framework outline several key property defeasible entailment one prominent algorithm within framework rational closure rc paper present declarative definition computing rc use answer set programming asp approach enable automatic construction minimal rank model give knowledge base support entailment checking specify query formally prove correctness asp encoding conduct empirical evaluation compare performance implementation exist imperative implementation specifically infocf solver result demonstrate aspbased approach adhere rcs theoretical foundation offer improve computational efficiency,iclp,year_post_2024,2025,logic reasoning knowledge,27,0,defeasible estate defeasible reasoning correctness answer set programming logical consequence set abstract datum type knowledge base closure psychology key lock,5
fixpoint semantics datalogmtl negation,samuele pollaci,datalogmtl negation extension datalog metric temporal operator enrich unstratifiable negation paper define stable wellfounde kripkekleene support model semantics datalogmtl negation simple straightforward way use solid mathematical formalism approximation fixpoint theory aft moreover prove stable model semantic obtain via aft coincide one define previous work employment pair interpretation stem logic hereandthere,iclp,year_post_2024,2025,logic reasoning knowledge,32,0,negation negation failure formalism music datalog fix point extension predicate logic semantic computer science algebra field wellfounde semantic,2
trap space semantic normal logic program,van-giang trinh sylvain soliman françois fages belaid benhamou,logical semantic normal logic program traditionally base notion clark completion twovalue threevalue canonical model include support stable regular wellfounde model twovalue interpretation also see state evolve program update operator produce transition graph whose fix point cycle capture stable oscillatory behavior respectively refer view dynamical semantic since characterize program mean term statespace trajectory first introduce stable support class semantic recently establish formal connection datalogneg program ie normal logic program without function symbol boolean network lead introduction trap space concept datalogneg programs paper generalize trap space concept arbitrary normal logic program introduce trap space semantic new approach interpretation new semantic admit modeltheoretic dynamical characterization provide comprehensive approach understand program behavior establish foundational property trap space semantic systematically relate establish modeltheoretic semantic include stable support stable support partial regular lstable model semantic well dynamical stable support class semantic result demonstrate trap space semantic offer unified precise framework prove existence support class strict stable support class regular model addition uncover formalize deep relationship among exist semantic normal logic program,iclp,year_post_2024,2025,logic reasoning knowledge,46,0,wellfounde semantic prooftheoretic semantic stable model semantics semantics computer science operational semantic class philosophy action semantic axiomatic semantic,4
xailaw logic programming tool modeling explain learn legal decision,agostino dovier talissa dreossi andrea formisano benedetta strizzolo,propose approach model article italian criminal code icc use answer set programming asp semiautomatically learn legal rule example base prior judicial decision develop tool intend support legal expert criminal trial phase provide reasoning possible legal outcome methodology involve analyze encode article icc asp include crime person property offense result model validate set previous verdict refine necessary encoding process contradiction may arise properly handle system also generate possible decision new case provide explanation tool leverage supportedness stable model automatic explainability offer tool also use clarify logic behind judicial decision make decisionmake process interpretable furthermore tool integrate inductive logic programming system asp employ generalize legal rule case example,iclp,year_post_2024,2025,logic reasoning knowledge,37,0,set abstract datum type logic programming process computing encode memory property philosophy code set theory inductive logic programming,5
formally explain decision tree model answer set programming,akihiro takemura masayuki otani katsumi inoue,decision tree model include random forest gradientbooste decision tree widely use machine learning due high predictive performance however complex structure often make difficult interpret especially safetycritical application model decision require formal justification recent work demonstrate logical abductive explanation derive automate reasoning technique paper propose method generate various type explanation namely sufficient contrastive majority treespecific explanation use answer set programming asp compare satbase approach aspbase method offer great flexibility encode user preference support enumeration possible explanation empirically evaluate approach diverse set dataset demonstrate effectiveness limitation compare exist method,iclp,year_post_2024,2025,logic reasoning knowledge,24,0,answer set programming decision tree set abstract datum type flexibility engineering tree set theory decision tree learn abductive reasoning random forest nonmonotonic logic,5
xdnnasp explanation generation system deep neural network power answer set programming,ly ly trieu tran cao son,explainable artificial intelligence xai gain significant attention recent year among thing explainablility deep neural network topic intensive research due meteoric rise prominence deep neural network blackbox nature xai approach characterize along different dimension scope global versus local explanation underlie methodology statisticbase versus rulebase strategy method generate global explanation aim provide reasoning process applicable possible output class local explanation method focus single specific class shap shapley additive explanation wellknown statistical technique identifie important feature network deep neural network rule extraction method construct ifthen rule link input condition class another approach focus generate counterfactual help explain small change input affect model prediction however technique primarily focus inputoutput relationship thus neglect structure network explanation generation work propose xdnnasp explanation generation system deep neural network provide global explanation give neural network model training datum xdnnasp extract logic program answer set semantic thatin ideal caserepresent train model ie answer set extract program correspond onetoone inputoutput pair network demonstrate experimentally use two synthetic dataset extract logic program maintain highlevel accuracy prediction task also provide valuable information understand model importance feature well impact hide node prediction latter use guide reduce number node use hidden layer ie provide mean optimize network,iclp,year_post_2024,2025,explainable artificial intelligence xai,33,0,artificial neural network deep learn counterfactual conditional focus optic semantic computer science set abstract datum type process compute scope computer science,5
implement firstorder logic,jens otten torsten schaub,present automate theorem prover firstorder logic ht base native sequent calculus logic ht axiomatic embed logic ht intuitionistic logic analytic proof search sequent calculus optimize use free variable skolemization embed use combination sequent tableau connection calculi intuitionistic firstorder logic prover evaluate large benchmark set firstorder formula provide foundation development efficient ht prover,iclp,year_post_2024,2025,logic programming type system,35,0,sequent calculus cutelimination theorem natural deduction sequent curryhoward correspondence embed structural proof theory calculus dental proof theory,2
